1-cysPrx_C	80,189,172
DUF1374	92,58,183
DUF1375	138,89,191
DUF1376	74,198,99
DUF1378	79,202,87
DUF1380	216,68,194
DUF1381	64,63,205
DUF1382	167,101,214
DUF1383	60,72,198
DUF1385	91,179,54
DUF1386	225,92,78
DUF1387	66,182,61
DUF1388	52,161,202
DUF1389	212,60,170
DUF1390	73,108,210
DUF1391	216,180,95
DUF1392	76,101,207
DUF1394	181,212,67
DUF1397	191,56,98
DUF1398	103,217,59
DUF1400	77,181,57
DUF1402	186,91,141
DUF1403	212,100,133
DUF1404	199,82,125
DUF1405	178,73,192
DUF1406	189,134,83
DUF1408	89,98,190
DUF1409	94,222,204
DUF1410	111,179,75
DUF1411	161,191,91
DUF1412	168,207,96
DUF1413	194,94,111
DUF1414	69,182,135
DUF1415	210,60,157
DUF1416	185,143,65
DUF1418	186,222,83
DUF1419	210,207,66
DUF1420	68,94,209
DUF1421	134,189,70
DUF1422	86,207,112
DUF1424	210,111,78
DUF1425	73,146,203
DUF1427	88,196,161
DUF1428	49,193,88
DUF1430	74,54,197
DUF1431	106,219,210
DUF1433	206,65,175
DUF1435	222,100,214
DUF1438	138,211,59
DUF1439	176,48,190
DUF1440	86,195,170
DUF1441	220,67,192
DUF1442	83,194,144
DUF1444	107,222,119
DUF1445	167,46,187
DUF1447	77,207,144
DUF1449	63,169,220
DUF1450	188,58,73
DUF1451	221,81,134
DUF1453	174,85,213
DUF1454	133,192,88
DUF1455	191,97,212
DUF1456	203,63,83
DUF1459	69,225,65
DUF1460	212,201,55
DUF1461	180,48,125
DUF1462	62,89,217
DUF1463	220,206,66
DUF1464	217,88,204
DUF1465	117,185,70
DUF1467	147,189,94
DUF1471	197,228,83
DUF1472	192,52,169
DUF1473	73,158,219
DUF1474	214,86,215
DUF1475	210,81,162
DUF1476	74,184,179
DUF1477	172,74,226
DUF1478	82,187,136
DUF1479	82,143,189
DUF148	70,182,99
DUF1480	175,218,93
DUF1481	82,179,80
DUF1482	226,100,79
DUF1484	58,63,181
DUF1485	101,127,217
DUF1487	88,218,198
DUF1488	62,48,183
DUF1489	191,66,159
DUF1490	66,59,199
DUF1491	184,117,90
DUF1492	208,95,76
DUF1493	69,183,61
DUF1494	67,134,221
DUF1495	96,200,53
DUF1496	79,194,182
DUF1497	211,65,202
DUF1499	193,66,228
DUF150	223,96,140
DUF1500	66,67,196
DUF1501	188,81,80
DUF1502	58,216,155
DUF1505	187,76,61
DUF1506	113,89,203
DUF1507	206,225,90
DUF1508	170,183,62
DUF1509	59,197,144
DUF150_C	88,202,168
DUF1510	224,161,81
DUF1512	75,204,131
DUF1513	75,180,131
DUF1514	84,202,206
DUF1515	177,69,183
DUF1516	152,73,193
DUF1517	98,202,171
DUF1518	172,100,224
DUF1521	213,56,169
DUF1522	197,84,55
DUF1523	182,219,95
DUF1524	220,94,137
DUF1525	119,197,87
DUF1529	84,199,145
DUF1533	102,206,144
DUF1534	204,100,153
DUF1537	217,82,111
DUF1538	75,61,188
DUF1539	185,140,88
DUF1540	101,158,228
DUF1541	185,46,117
DUF1542	213,75,75
DUF1543	209,160,102
DUF1547	82,218,91
DUF1548	227,134,86
DUF155	204,56,162
DUF1554	78,226,86
DUF1556	204,72,190
DUF1560	87,190,111
DUF1561	179,50,68
DUF1563	104,225,156
DUF1564	184,106,72
DUF1565	182,56,117
DUF1566	219,100,215
DUF1569	169,104,227
DUF1570	110,227,60
DUF1571	218,98,84
DUF1572	182,200,73
DUF1573	188,226,68
DUF1574	154,211,64
DUF1576	217,169,101
DUF1577	70,109,200
DUF1579	173,221,85
DUF1580	99,211,210
DUF1581	212,94,55
DUF1582	85,191,83
DUF1583	59,198,157
DUF1586	196,74,220
DUF1589	182,206,84
DUF1590	195,128,69
DUF1593	79,155,206
DUF1598	162,185,76
DUF1599	216,95,118
DUF16	121,179,51
DUF1600	144,101,219
DUF1601	208,80,186
DUF1604	106,228,188
DUF1609	115,190,50
DUF1610	210,102,96
DUF1611	146,216,99
DUF1611_N	145,89,208
DUF1612	117,75,205
DUF1614	62,54,207
DUF1615	63,67,189
DUF1616	190,56,168
DUF1617	108,92,204
DUF1618	176,179,80
DUF1619	102,227,111
DUF1622	202,159,73
DUF1623	111,206,83
DUF1624	166,59,205
DUF1627	155,85,207
DUF1629	195,200,99
DUF1631	192,52,172
DUF1633	144,209,57
DUF1634	64,207,185
DUF1635	124,73,191
DUF1636	100,184,65
DUF1638	182,90,126
DUF1639	173,74,225
DUF1640	84,125,211
DUF1641	191,78,81
DUF1642	222,90,162
DUF1643	193,54,87
DUF1644	223,120,59
DUF1645	128,75,185
DUF1646	57,225,82
DUF1647	102,55,199
DUF1648	190,101,86
DUF1651	85,189,127
DUF1652	219,91,75
DUF1653	62,198,88
DUF1654	224,89,134
DUF1655	181,110,79
DUF1656	220,121,82
DUF1657	226,136,99
DUF1658	198,207,60
DUF1659	157,192,89
DUF166	229,105,204
DUF1660	221,185,101
DUF1661	224,125,99
DUF1663	210,79,151
DUF1664	217,87,197
DUF1666	199,90,153
DUF1667	74,88,190
DUF1668	168,184,88
DUF167	204,220,79
DUF1670	96,204,196
DUF1672	94,166,228
DUF1673	181,146,66
DUF1674	191,82,212
DUF1676	201,59,160
DUF1677	86,217,117
DUF1678	99,107,203
DUF1679	186,56,216
DUF1681	85,68,179
DUF1682	81,212,210
DUF1684	90,140,190
DUF1685	200,129,76
DUF1686	128,193,64
DUF1687	54,191,188
DUF1688	227,142,106
DUF1689	203,67,228
DUF169	102,217,181
DUF1690	128,85,227
DUF1691	189,148,54
DUF1694	218,184,102
DUF1697	84,200,100
DUF1699	129,180,85
DUF1700	172,98,197
DUF1702	177,49,186
DUF1704	80,188,135
DUF1706	199,141,80
DUF1707	227,119,96
DUF1708	67,180,209
DUF1712	92,87,187
DUF1713	186,49,57
DUF1717	206,59,136
DUF1719	125,214,86
DUF1720	100,223,199
DUF1722	214,225,76
DUF1724	71,132,197
DUF1725	207,58,71
DUF1726	61,194,149
DUF1727	104,202,99
DUF1729	199,58,132
DUF1730	78,154,186
DUF1731	63,110,190
DUF1732	82,66,185
DUF1735	84,107,182
DUF1736	94,153,224
DUF1737	186,58,147
DUF1738	72,151,181
DUF1741	115,82,203
DUF1743	228,79,205
DUF1744	134,74,206
DUF1746	68,171,216
DUF1748	106,214,155
DUF1749	206,97,146
DUF1751	204,101,166
DUF1752	199,80,79
DUF1754	103,226,88
DUF1757	106,66,221
DUF1758	128,214,97
DUF1759	61,192,199
DUF1761	210,174,59
DUF1764	96,113,227
DUF1765	92,199,75
DUF1768	53,115,207
DUF1769	89,219,219
DUF1770	194,90,151
DUF1771	193,74,49
DUF1772	75,196,107
DUF1773	75,90,191
DUF1774	79,203,213
DUF1775	213,125,89
DUF1776	180,72,200
DUF1778	115,223,63
DUF1779	85,107,192
DUF1780	95,146,194
DUF1786	191,216,104
DUF1788	188,137,59
DUF179	170,74,192
DUF1793	127,59,202
DUF1794	168,61,214
DUF1796	136,201,76
DUF1797	77,224,147
DUF1798	64,216,215
DUF1799	51,155,181
DUF1800	218,93,182
DUF1801	120,214,95
DUF1802	72,50,183
DUF1803	65,191,79
DUF1804	185,107,218
DUF1805	76,121,222
DUF1806	66,185,53
DUF1810	82,49,195
DUF1811	178,90,81
DUF1815	88,206,227
DUF1816	105,210,155
DUF1818	96,220,161
DUF1819	69,197,91
DUF1820	110,190,49
DUF1822	169,196,55
DUF1823	227,67,183
DUF1824	204,84,131
DUF1825	97,208,212
DUF1826	70,195,205
DUF1827	64,179,150
DUF1828	90,88,200
DUF1829	64,193,76
DUF1830	214,110,87
DUF1831	86,176,221
DUF1833	107,52,182
DUF1834	217,159,55
DUF1835	127,104,223
DUF1836	84,209,204
DUF1837	188,64,147
DUF1838	204,66,192
DUF1839	113,62,195
DUF1840	184,96,214
DUF1841	199,51,126
DUF1842	121,208,70
DUF1843	64,92,205
DUF1844	83,107,220
DUF1845	128,81,190
DUF1846	189,163,66
DUF1847	182,84,141
DUF1848	59,185,197
DUF1849	182,127,61
DUF1850	92,215,107
DUF1851	67,162,183
DUF1852	48,125,180
DUF1853	54,192,86
DUF1854	190,215,98
DUF1856	211,81,132
DUF1857	65,163,199
DUF1858	60,156,179
DUF1859	79,197,145
DUF1860	135,223,92
DUF1861	212,59,206
DUF1863	61,88,183
DUF1864	86,178,181
DUF1866	131,216,95
DUF1869	217,107,208
DUF1870	190,156,86
DUF1871	172,105,215
DUF1874	201,74,51
DUF1876	194,71,189
DUF1877	62,198,130
DUF1878	203,84,120
DUF188	68,137,214
DUF1882	108,196,219
DUF1883	74,203,137
DUF1884	72,223,164
DUF1885	113,189,90
DUF1887	191,58,111
DUF1889	83,106,212
DUF1890	207,189,103
DUF1891	80,198,197
DUF1892	181,168,78
DUF1894	85,172,219
DUF1896	168,178,69
DUF1897	159,62,186
DUF1899	157,89,228
DUF19	67,54,199
DUF190	92,223,56
DUF1902	184,113,58
DUF1904	78,211,200
DUF1905	86,196,107
DUF1906	179,135,79
DUF1907	214,87,59
DUF1908	96,204,111
DUF1910	205,179,62
DUF1911	205,91,113
DUF1912	209,77,136
DUF1917	100,214,193
DUF1918	79,88,192
DUF1919	178,186,50
DUF192	108,112,223
DUF1921	126,90,205
DUF1922	211,95,175
DUF1923	226,91,173
DUF1924	97,192,210
DUF1925	163,103,220
DUF1926	166,65,200
DUF1929	96,213,144
DUF1930	214,206,73
DUF1931	208,142,95
DUF1932	195,173,59
DUF1933	139,73,186
DUF1934	210,77,103
DUF1935	205,82,165
DUF1936	211,169,99
DUF1937	84,189,160
DUF1938	221,72,223
DUF1939	111,167,223
DUF1940	62,108,192
DUF1942	55,77,198
DUF1943	222,79,99
DUF1944	132,90,187
DUF1945	62,203,228
DUF1947	134,100,229
DUF1948	54,181,118
DUF1949	71,198,213
DUF1951	215,123,94
DUF1952	183,181,68
DUF1953	224,144,61
DUF1955	71,224,166
DUF1956	154,82,215
DUF1957	211,100,95
DUF1958	190,145,57
DUF1959	163,180,54
DUF1961	159,187,71
DUF1962	188,55,109
DUF1963	195,70,144
DUF1964	56,214,160
DUF1965	153,216,102
DUF1966	96,51,205
DUF1967	69,62,186
DUF1968	85,187,79
DUF1970	72,164,198
DUF1971	181,77,81
DUF1972	100,204,172
DUF1974	81,182,202
DUF1977	95,202,150
DUF1978	72,198,168
DUF1979	224,72,147
DUF1980	224,56,165
DUF1981	91,185,94
DUF1983	69,86,187
DUF1985	61,131,196
DUF1986	109,121,221
DUF1987	181,83,177
DUF1989	190,52,203
DUF1990	153,197,87
DUF1992	178,56,185
DUF1993	110,131,227
DUF1995	157,75,218
DUF1996	109,223,219
DUF1997	137,68,214
DUF1998	161,180,86
DUF1999	59,147,198
DUF2000	68,191,195
DUF2001	92,56,201
DUF2002	198,83,150
DUF2004	144,89,213
DUF2007	198,145,52
DUF2009	209,97,179
DUF2011	192,156,56
DUF2012	109,195,75
DUF2013	130,88,186
DUF2014	170,214,91
DUF2015	203,87,190
DUF2016	56,218,196
DUF2017	90,127,213
DUF2018	219,111,226
DUF2019	104,214,166
DUF202	72,165,178
DUF2020	96,144,226
DUF2023	93,202,168
DUF2024	201,227,107
DUF2025	182,159,77
DUF2026	120,208,89
DUF2027	164,69,193
DUF2028	168,214,59
DUF2031	70,212,76
DUF2034	68,113,184
DUF2039	170,68,221
DUF2040	173,181,59
DUF2043	177,198,73
DUF2045	89,228,162
DUF2046	102,57,206
DUF2048	101,119,212
DUF2052	178,87,115
DUF2053	105,66,199
DUF2054	98,86,184
DUF2057	67,196,201
DUF2058	229,66,168
DUF2059	83,129,216
DUF2061	84,198,191
DUF2062	205,100,69
DUF2063	98,208,147
DUF2064	64,152,184
DUF2065	110,186,47
DUF2066	94,145,213
DUF2067	184,63,108
DUF2069	194,155,63
DUF2070	79,175,197
DUF2071	209,75,163
DUF2072	84,183,110
DUF2073	154,200,93
DUF2075	173,201,69
DUF2076	193,93,69
DUF2079	67,189,210
DUF2080	104,214,226
DUF2083	220,220,109
DUF2085	227,66,101
DUF2087	169,56,213
DUF2088	183,68,131
DUF2089	76,90,197
DUF2090	179,64,185
DUF2092	90,221,130
DUF2093	213,105,112
DUF2095	155,77,186
DUF2096	180,87,77
DUF2097	198,97,76
DUF2098	99,220,62
DUF2099	67,209,129
DUF21	76,67,187
DUF2100	198,65,100
DUF2101	78,145,229
DUF2102	210,138,61
DUF2103	211,87,208
DUF2104	193,68,217
DUF2105	209,209,92
DUF2106	70,190,115
DUF2107	216,217,65
DUF2108	228,91,92
DUF2109	223,77,169
DUF211	60,152,188
DUF2110	224,149,97
DUF2111	84,219,184
DUF2112	61,201,176
DUF2113	68,188,191
DUF2114	81,186,54
DUF2115	67,169,204
DUF2116	146,185,49
DUF2117	55,208,137
DUF2118	70,151,179
DUF2119	220,103,136
DUF212	215,62,131
DUF2120	164,203,71
DUF2121	98,221,135
DUF2122	216,104,180
DUF2124	179,78,205
DUF2125	125,188,50
DUF2126	184,136,60
DUF2127	181,67,204
DUF2129	188,66,82
DUF2130	80,150,222
DUF2135	101,121,211
DUF2138	75,143,220
DUF2139	111,161,225
DUF2140	58,145,204
DUF2141	132,203,76
DUF2142	177,179,46
DUF2145	203,193,98
DUF2147	198,162,65
DUF2148	224,159,87
DUF2149	219,195,81
DUF2150	47,182,46
DUF2151	83,194,212
DUF2152	132,178,78
DUF2153	66,71,220
DUF2154	190,73,196
DUF2155	177,196,96
DUF2156	212,197,83
DUF2157	81,185,182
DUF2158	145,183,70
DUF2160	188,206,81
DUF2161	210,104,117
DUF2162	170,92,200
DUF2163	136,97,207
DUF2164	111,62,205
DUF2165	63,225,148
DUF2167	221,194,98
DUF2169	72,183,183
DUF2170	101,212,61
DUF2171	119,208,85
DUF2172	200,216,62
DUF2173	105,178,62
DUF2175	200,215,105
DUF2177	214,105,223
DUF2178	180,79,199
DUF2179	123,200,88
DUF218	60,150,205
DUF2180	196,90,194
DUF2181	185,88,126
DUF2182	88,205,177
DUF2183	130,88,179
DUF2184	179,72,154
DUF2185	192,191,66
DUF2187	218,141,102
DUF2188	225,99,221
DUF2189	70,227,107
DUF2190	157,80,190
DUF2192	50,88,191
DUF2193	143,199,80
DUF2194	100,210,165
DUF2195	90,195,159
DUF2196	195,58,111
DUF2197	180,168,55
DUF2198	166,65,195
DUF2199	145,187,80
DUF22	113,229,114
DUF220	123,218,76
DUF2200	97,213,82
DUF2201	202,92,95
DUF2201_N	133,179,46
DUF2202	181,94,199
DUF2203	218,84,170
DUF2204	108,181,76
DUF2205	118,193,79
DUF2206	90,219,181
DUF2207	82,221,184
DUF2208	206,63,190
DUF2209	212,92,149
DUF2213	73,188,78
DUF2214	201,95,164
DUF2218	98,200,123
DUF2219	72,166,221
DUF222	123,178,86
DUF2220	70,196,220
DUF2222	213,95,62
DUF2225	56,159,210
DUF2226	71,204,86
DUF2227	66,53,202
DUF2228	186,181,87
DUF2229	209,114,101
DUF223	213,65,196
DUF2231	86,187,169
DUF2232	203,100,51
DUF2235	93,79,186
DUF2236	194,179,92
DUF2237	139,197,74
DUF2238	84,228,163
DUF2239	221,109,58
DUF2240	193,184,65
DUF2242	198,201,61
DUF2243	104,195,94
DUF2244	161,71,195
DUF2247	95,195,157
DUF2249	56,171,217
DUF2250	204,52,84
DUF2251	140,201,100
DUF2252	161,58,189
DUF2254	215,66,214
DUF2255	95,191,118
DUF2256	104,89,211
DUF2258	96,213,162
DUF2259	191,146,91
DUF226	109,59,197
DUF2262	208,99,62
DUF2263	129,82,199
DUF2264	70,181,144
DUF2267	77,216,179
DUF2268	181,135,62
DUF2269	97,93,228
DUF2270	184,78,87
DUF2271	105,92,191
DUF2272	157,90,216
DUF2273	136,208,86
DUF2274	192,81,74
DUF2275	152,223,110
DUF2277	94,96,196
DUF2278	102,216,88
DUF2279	71,71,222
DUF228	64,180,85
DUF2280	200,58,143
DUF2281	212,90,110
DUF2282	70,147,208
DUF2283	94,187,211
DUF2284	147,184,63
DUF2285	108,59,193
DUF2286	123,183,77
DUF2288	147,63,225
DUF229	205,90,176
DUF2290	182,173,64
DUF2291	64,188,190
DUF2292	181,89,121
DUF2293	93,86,214
DUF2294	73,196,164
DUF2298	61,201,132
DUF2299	99,209,194
DUF2300	110,54,213
DUF2301	57,205,139
DUF2303	76,184,70
DUF2304	205,163,62
DUF2306	203,168,68
DUF2309	209,66,177
DUF2310	54,185,160
DUF2312	182,107,215
DUF2313	100,203,210
DUF2314	69,105,203
DUF2315	195,65,154
DUF2316	189,126,60
DUF2318	144,93,214
DUF2321	84,126,202
DUF2322	98,61,203
DUF2325	183,168,84
DUF2326	173,221,102
DUF2330	101,156,207
DUF2332	88,96,229
DUF2333	212,123,73
DUF2334	65,145,216
DUF2335	165,222,90
DUF2336	122,90,208
DUF2339	192,83,149
DUF234	148,221,85
DUF2340	106,222,111
DUF2341	91,219,216
DUF2344	76,181,155
DUF2345	60,56,191
DUF2347	211,170,75
DUF2353	96,86,203
DUF2357	207,92,77
DUF2358	197,218,97
DUF236	62,195,137
DUF2362	113,47,181
DUF2367	195,88,97
DUF2368	222,106,151
DUF2369	143,89,203
DUF237	51,192,95
DUF2370	134,61,199
DUF2371	105,94,201
DUF2373	158,196,77
DUF2374	149,214,97
DUF2375	84,61,205
DUF2378	220,84,185
DUF2379	72,193,100
DUF2380	219,79,186
DUF2381	227,112,179
DUF2382	183,207,91
DUF2383	95,121,220
DUF2384	210,106,88
DUF2385	203,229,68
DUF2387	76,191,53
DUF2388	185,50,57
DUF2389	139,72,179
DUF2390	112,222,108
DUF2391	86,109,187
DUF2393	143,110,224
DUF2396	158,214,106
DUF2397	205,225,100
DUF2398	51,173,192
DUF2399	56,85,218
DUF240	194,101,85
DUF2400	84,107,189
DUF2401	49,193,87
DUF2403	203,133,71
DUF2405	137,87,203
DUF2406	197,87,121
DUF2407	56,125,203
DUF2407_C	178,84,62
DUF2408	86,57,213
DUF241	100,201,202
DUF2415	71,185,148
DUF2417	199,68,224
DUF2418	195,93,92
DUF2420	216,221,61
DUF2423	76,124,192
DUF2427	189,50,146
DUF2428	81,211,96
DUF243	63,98,182
DUF2430	144,64,180
DUF2431	225,75,179
DUF2433	201,115,61
DUF2434	185,69,132
DUF2436	223,93,108
DUF2437	120,52,207
DUF2439	66,224,83
DUF244	67,192,166
DUF2441	78,187,166
DUF2442	53,110,212
DUF2443	98,210,165
DUF2448	184,90,84
DUF2451	116,78,192
DUF2452	225,163,106
DUF2456	67,199,106
DUF2457	152,87,184
DUF2458	81,205,175
DUF2459	226,176,107
DUF2460	68,166,194
DUF2461	182,154,60
DUF2462	59,80,199
DUF2463	195,75,59
DUF2464	74,197,201
DUF2465	103,192,216
DUF2469	108,59,186
DUF247	103,47,181
DUF2470	77,184,50
DUF2471	186,70,71
DUF2474	75,47,179
DUF2475	83,85,179
DUF2476	161,97,212
DUF2477	94,214,91
DUF2478	85,67,219
DUF2480	78,103,204
DUF2481	224,74,189
DUF2482	70,197,155
DUF2483	216,79,149
DUF2484	147,87,209
DUF2486	103,192,62
DUF2487	84,201,186
DUF2489	141,91,195
DUF249	211,205,78
DUF2490	201,101,228
DUF2491	88,181,179
DUF2492	106,157,219
DUF2496	96,201,61
DUF2497	195,77,57
DUF2498	65,188,48
DUF2499	187,80,112
DUF2500	78,197,75
DUF2501	148,61,207
DUF2502	220,204,55
DUF2505	222,134,59
DUF2507	226,96,117
DUF2508	188,173,66
DUF2509	83,190,215
DUF2510	62,198,90
DUF2511	204,93,76
DUF2512	206,176,79
DUF2513	93,208,223
DUF2514	48,181,103
DUF2515	208,88,226
DUF2516	75,104,211
DUF2517	76,131,221
DUF2518	213,144,105
DUF2520	112,180,66
DUF2521	209,193,54
DUF2523	189,73,86
DUF2524	217,81,108
DUF2525	133,52,200
DUF2526	83,199,208
DUF2527	200,102,214
DUF2528	181,48,80
DUF2529	190,167,65
DUF2530	188,65,191
DUF2532	167,78,180
DUF2533	82,205,126
DUF2534	62,213,168
DUF2535	169,68,188
DUF2536	178,124,84
DUF2537	185,183,88
DUF2538	179,218,98
DUF2540	169,190,80
DUF2541	86,221,91
DUF2542	54,213,154
DUF2543	113,114,228
DUF2544	77,103,194
DUF2545	72,90,188
DUF2547	61,97,203
DUF2550	107,200,70
DUF2551	180,46,186
DUF2552	62,163,184
DUF2553	64,81,208
DUF2554	110,210,100
DUF2555	187,151,67
DUF2556	159,113,228
DUF2559	173,91,209
DUF2560	64,175,199
DUF2561	195,158,68
DUF2563	71,196,74
DUF2564	55,195,168
DUF2567	78,215,137
DUF2568	221,213,107
DUF2569	214,79,122
DUF257	192,162,81
DUF2570	186,172,90
DUF2572	209,64,185
DUF2573	218,101,96
DUF2574	203,57,163
DUF2575	188,154,52
DUF2576	216,129,106
DUF2577	109,213,66
DUF2582	196,76,145
DUF2583	137,190,61
DUF2584	72,221,55
DUF2585	143,91,184
DUF2586	203,71,137
DUF2587	76,216,88
DUF2589	150,82,224
DUF2590	98,208,156
DUF2591	75,222,130
DUF2593	69,219,124
DUF2594	70,192,194
DUF2597	53,104,191
DUF2599	60,208,115
DUF2600	79,206,186
DUF2603	97,190,197
DUF2604	164,92,188
DUF2605	80,198,133
DUF2606	90,195,118
DUF2607	107,217,179
DUF2608	181,205,57
DUF261	91,222,115
DUF2610	88,195,172
DUF2612	84,196,93
DUF2613	202,103,221
DUF2614	192,96,74
DUF2615	195,85,98
DUF2616	58,215,164
DUF2617	178,85,67
DUF2618	192,152,49
DUF2619	182,76,85
DUF262	101,154,211
DUF2620	180,57,158
DUF2621	95,193,94
DUF2623	225,86,177
DUF2624	65,200,142
DUF2625	109,226,166
DUF2626	208,100,166
DUF2627	102,99,210
DUF2628	59,222,198
DUF2630	176,207,70
DUF2631	76,186,55
DUF2632	165,76,190
DUF2633	180,71,137
DUF2634	183,58,77
DUF2635	64,194,117
DUF2637	200,100,66
DUF2639	77,157,210
DUF2642	208,64,80
DUF2644	85,149,215
DUF2645	92,187,166
DUF2647	94,219,177
DUF2649	94,94,224
DUF2650	197,160,97
DUF2651	79,200,126
DUF2652	183,54,88
DUF2653	116,63,201
DUF2654	115,188,76
DUF2655	77,188,141
DUF2656	83,107,195
DUF2659	182,136,75
DUF2660	79,205,64
DUF2661	197,75,134
DUF2663	99,76,194
DUF2664	65,201,161
DUF2666	68,155,189
DUF267	194,89,101
DUF2670	191,199,81
DUF2671	80,140,209
DUF2672	225,104,219
DUF2673	191,59,100
DUF2674	103,216,74
DUF2675	187,52,174
DUF2677	154,189,72
DUF2678	93,212,223
DUF268	180,88,112
DUF2680	194,169,75
DUF2681	226,98,94
DUF2682	182,84,71
DUF2683	67,196,127
DUF2684	117,221,97
DUF2685	113,194,92
DUF2686	50,181,88
DUF2688	79,217,70
DUF2689	66,202,196
DUF269	133,97,198
DUF2690	168,200,78
DUF2691	102,189,85
DUF2694	56,111,212
DUF2695	191,62,209
DUF2700	106,83,185
DUF2701	61,184,66
DUF2703	142,72,180
DUF2704	224,72,223
DUF2705	172,211,84
DUF2706	72,180,157
DUF2709	90,187,71
DUF2710	76,203,72
DUF2711	209,69,162
DUF2712	87,98,190
DUF2713	162,212,59
DUF2714	212,123,60
DUF2715	200,86,112
DUF2716	73,227,69
DUF2717	184,118,82
DUF2718	66,219,196
DUF2719	224,116,68
DUF272	229,90,216
DUF2721	181,192,82
DUF2722	113,215,92
DUF2723	203,130,96
DUF2724	215,184,86
DUF2726	98,120,204
DUF2729	182,45,180
DUF273	77,205,176
DUF2730	185,61,83
DUF2732	194,95,219
DUF2733	123,189,75
DUF2735	84,106,181
DUF2737	85,189,182
DUF2738	58,225,174
DUF2740	78,185,133
DUF2742	183,57,78
DUF2744	69,199,182
DUF2745	220,55,74
DUF2746	112,67,207
DUF2748	96,213,170
DUF2749	222,225,78
DUF2750	194,87,141
DUF2752	79,184,112
DUF2753	89,222,198
DUF2754	134,71,208
DUF2755	99,216,86
DUF2756	179,57,157
DUF2757	70,200,121
DUF2759	83,95,187
DUF276	198,55,192
DUF2760	169,194,70
DUF2761	216,226,58
DUF2764	71,218,78
DUF2766	205,154,98
DUF2767	141,57,198
DUF2768	138,92,206
DUF2769	123,90,222
DUF2770	153,76,202
DUF2771	147,185,56
DUF2773	217,132,60
DUF2774	75,59,193
DUF2776	203,96,114
DUF2777	102,182,85
DUF2778	196,71,210
DUF2779	73,70,205
DUF2780	96,160,213
DUF2781	183,165,77
DUF2782	168,216,69
DUF2783	64,169,217
DUF2784	218,98,196
DUF2785	167,45,182
DUF2786	191,60,131
DUF2787	161,75,199
DUF2788	111,87,227
DUF2789	173,83,214
DUF2790	89,180,163
DUF2791	90,201,162
DUF2793	226,91,174
DUF2794	72,190,215
DUF2795	193,75,159
DUF2796	92,157,191
DUF2797	95,198,159
DUF2798	78,196,96
DUF2799	123,78,194
DUF2800	63,139,180
DUF2802	179,51,125
DUF2804	99,185,83
DUF2805	55,89,181
DUF2806	133,97,219
DUF2807	213,98,84
DUF2808	88,147,209
DUF2809	131,220,60
DUF281	191,78,188
DUF2810	60,108,201
DUF2811	145,201,65
DUF2812	141,77,220
DUF2813	91,191,97
DUF2815	213,64,147
DUF2816	79,214,220
DUF2817	107,218,113
DUF2818	97,86,220
DUF282	227,73,90
DUF2824	157,225,72
DUF2826	143,226,85
DUF2827	211,97,158
DUF2828	112,59,194
DUF2829	92,149,223
DUF2830	224,130,96
DUF2833	62,200,108
DUF2834	164,58,192
DUF2835	185,122,66
DUF2838	63,86,219
DUF2839	84,172,211
DUF2840	217,82,101
DUF2841	115,106,220
DUF2842	115,194,75
DUF2844	168,208,76
DUF2845	116,60,182
DUF2846	119,182,89
DUF2847	93,205,89
DUF2848	154,192,56
DUF2849	194,79,71
DUF285	205,82,171
DUF2850	222,96,137
DUF2851	80,178,186
DUF2852	154,189,92
DUF2853	219,104,195
DUF2854	203,76,144
DUF2855	60,96,228
DUF2856	217,87,104
DUF2857	63,211,87
DUF2859	222,87,93
DUF2860	83,174,182
DUF2861	166,204,99
DUF2862	174,61,181
DUF2863	227,107,214
DUF2865	140,66,185
DUF2866	224,199,57
DUF2867	97,120,227
DUF2868	142,72,193
DUF287	111,192,52
DUF2870	199,187,72
DUF2871	90,178,49
DUF2873	68,155,186
DUF2875	216,71,223
DUF2877	199,124,95
DUF2878	92,186,218
DUF2880	111,212,80
DUF2883	194,221,106
DUF2884	225,67,75
DUF2887	201,207,79
DUF2888	83,104,201
DUF2889	163,92,187
DUF2890	133,57,203
DUF2891	184,186,82
DUF2892	93,174,209
DUF2894	198,81,222
DUF2895	179,70,204
DUF2897	177,189,70
DUF29	104,61,184
DUF2905	212,84,182
DUF2909	89,190,64
DUF2911	135,185,56
DUF2913	75,194,56
DUF2914	79,188,225
DUF2917	63,228,103
DUF2919	189,183,86
DUF2920	156,52,187
DUF2921	223,97,58
DUF2922	207,56,120
DUF2924	202,60,189
DUF2927	61,193,68
DUF2929	198,68,204
DUF2931	69,212,194
DUF2933	56,82,182
DUF2934	112,81,217
DUF2935	65,53,187
DUF2937	201,92,126
DUF2938	131,219,62
DUF2939	91,189,121
DUF294	67,197,104
DUF2944	172,194,89
DUF2945	94,131,203
DUF2946	88,179,99
DUF2947	47,183,56
DUF2948	206,77,111
DUF2949	169,91,208
DUF294_C	85,195,112
DUF295	78,102,186
DUF2950	124,218,68
DUF2951	228,71,191
DUF2953	53,153,210
DUF2955	180,172,48
DUF2956	185,192,93
DUF2957	86,167,181
DUF2958	223,77,105
DUF2959	71,186,192
DUF296	59,217,140
DUF2960	86,211,158
DUF2961	57,67,201
DUF2963	114,178,64
DUF2964	74,55,179
DUF2967	85,136,204
DUF2968	77,142,190
DUF2969	183,88,188
DUF2970	220,85,130
DUF2971	190,106,227
DUF2972	187,100,212
