1-cysPrx_C	159,78,55	#9f4e37
DUF3239	202,92,62	#ca5c3e
DUF3240	94,157,40	#5e9d28
DUF3242	150,99,85	#966355
DUF3243	218,100,67	#da6443
DUF3244	85,61,110	#553d6e
DUF3245	139,69,50	#8b4532
DUF3246	200,124,103	#c87c67
DUF3247	58,231,58	#3ae73a
DUF3248	198,100,73	#c66449
DUF325	224,135,110	#e0876e
DUF3251	136,88,75	#88584b
DUF3253	203,212,70	#cbd446
DUF3254	124,68,226	#7c44e2
DUF3255	185,95,210	#b95fd2
DUF3256	212,110,82	#d46e52
DUF3258	223,106,74	#df6a4a
DUF326	207,134,115	#cf8673
DUF3261	90,155,166	#5a9ba6
DUF3262	216,105,74	#d8694a
DUF3263	223,139,115	#df8b73
DUF3265	198,216,99	#c6d863
DUF3267	82,191,180	#52bfb4
DUF3268	143,73,54	#8f4936
DUF3269	154,76,55	#9a4c37
DUF327	225,148,126	#e1947e
DUF3270	166,86,64	#a65640
DUF3271	148,92,77	#945c4d
DUF3272	225,143,121	#e18f79
DUF3273	160,95,77	#a05f4d
DUF3274	105,189,224	#69bde0
DUF3275	156,70,46	#9c462e
DUF3276	157,108,71	#9d6c47
DUF3277	65,145,205	#4191cd
DUF3278	210,125,101	#d27d65
DUF3280	93,159,60	#5d9f3c
DUF3281	219,102,69	#db6645
DUF3283	207,102,73	#cf6649
DUF3284	37,106,106	#256a6a
DUF3285	197,125,105	#c57d69
DUF3287	217,141,120	#d98d78
DUF3288	213,131,109	#d5836d
DUF3289	212,98,67	#d46243
DUF3290	142,92,78	#8e5c4e
DUF3291	139,116,203	#8b74cb
DUF3292	143,70,50	#8f4632
DUF3293	211,104,75	#d3684b
DUF3294	154,95,79	#9a5f4f
DUF3295	200,130,111	#c8826f
DUF3297	141,92,78	#8d5c4e
DUF3298	150,99,85	#966355
DUF3299	109,35,131	#6d2383
DUF3300	217,130,106	#d9826a
DUF3301	213,132,110	#d5846e
DUF3302	209,107,79	#d16b4f
DUF3303	85,62,148	#553e94
DUF3304	220,111,80	#dc6f50
DUF3305	161,83,62	#a1533e
DUF3306	218,113,84	#da7154
DUF3307	144,73,53	#904935
DUF3309	148,99,85	#946355
DUF3310	163,79,56	#a34f38
DUF3311	224,102,68	#e06644
DUF3313	210,107,78	#d26b4e
DUF3314	143,91,77	#8f5b4d
DUF3316	152,75,54	#984b36
DUF3318	159,72,48	#9f4830
DUF3319	220,107,76	#dc6b4c
DUF3320	209,133,112	#d18570
DUF3322	206,104,75	#ce684b
DUF3323	141,65,44	#8d412c
DUF3324	57,227,64	#39e340
DUF3325	147,96,82	#936052
DUF3326	153,94,78	#995e4e
DUF3327	49,154,189	#319abd
DUF3328	215,82,196	#d752c4
DUF333	199,99,71	#c76347
DUF3330	215,131,108	#d7836c
DUF3331	223,116,86	#df7456
DUF3332	201,104,77	#c9684d
DUF3333	199,123,102	#c77b66
DUF3334	36,140,71	#248c47
DUF3335	92,181,86	#5cb556
DUF3336	222,134,109	#de866d
DUF3337	201,92,61	#c95c3d
DUF3338	86,218,137	#56da89
DUF3339	162,79,56	#a24f38
DUF334	138,65,45	#8a412d
DUF3340	217,142,121	#d98e79
DUF3341	85,97,203	#5561cb
DUF3342	182,93,214	#b65dd6
DUF3343	103,83,197	#6753c5
DUF3344	205,132,111	#cd846f
DUF3346	102,168,205	#66a8cd
DUF3347	200,98,70	#c86246
DUF3348	213,97,65	#d56141
DUF3349	224,138,115	#e08a73
DUF3350	203,131,112	#cb8370
DUF3352	150,69,46	#96452e
DUF3357	98,68,184	#6244b8
DUF3360	65,70,133	#414685
DUF3361	72,56,191	#4838bf
DUF3362	140,72,53	#8c4835
DUF3363	166,102,85	#a66655
DUF3364	211,118,98	#d37662
DUF3365	122,90,223	#7a5adf
DUF3367	69,220,109	#45dc6d
DUF3368	208,101,71	#d06547
DUF3369	60,60,118	#3c3c76
DUF3370	207,126,104	#cf7e68
DUF3371	161,100,84	#a16454
DUF3372	202,92,223	#ca5cdf
DUF3373	69,140,161	#458ca1
DUF3375	158,97,80	#9e6150
DUF3376	227,135,109	#e3876d
DUF3377	199,101,74	#c7654a
DUF3378	90,141,42	#5a8d2a
DUF3379	146,94,79	#925e4f
DUF3381	161,105,89	#a16959
DUF3382	156,101,86	#9c6556
DUF3383	165,105,88	#a56958
DUF3384	215,98,65	#d76241
DUF3385	220,169,91	#dca95b
DUF3386	202,126,105	#ca7e69
DUF3387	66,202,190	#42cabe
DUF3388	205,101,72	#cd6548
DUF3389	66,62,123	#423e7b
DUF3390	127,211,86	#7fd356
DUF3391	137,89,76	#89594c
DUF3392	225,142,119	#e18e77
DUF3394	159,74,50	#9f4a32
DUF3395	188,68,74	#bc444a
DUF3396	201,86,159	#c9569f
DUF3397	164,80,56	#a45038
DUF3398	140,64,185	#8c40b9
DUF3399	142,87,72	#8e5748
DUF3400	218,141,120	#da8d78
DUF3402	151,72,50	#974832
DUF3403	198,99,72	#c66348
DUF3404	162,108,93	#a26c5d
DUF3405	152,69,46	#98452e
DUF3408	213,102,71	#d56647
DUF3409	157,66,198	#9d42c6
DUF3410	168,70,88	#a84658
DUF3412	85,174,213	#55aed5
DUF3413	225,103,69	#e16745
DUF3416	105,216,118	#69d876
DUF3417	163,80,57	#a35039
DUF3418	203,134,115	#cb8673
DUF3419	164,99,81	#a46351
DUF3420	210,61,156	#d23d9c
DUF3421	188,217,77	#bcd94d
DUF3422	215,134,112	#d78670
DUF3425	143,86,70	#8f5646
DUF3426	222,104,71	#de6847
DUF3427	207,134,115	#cf8673
DUF3429	206,98,68	#ce6244
DUF3430	55,220,94	#37dc5e
DUF3431	155,97,81	#9b6151
DUF3432	196,96,68	#c46044
DUF3433	146,92,77	#925c4d
DUF3435	219,102,165	#db66a5
DUF3437	124,212,94	#7cd45e
DUF3438	144,64,42	#90402a
DUF3439	128,65,197	#8041c5
DUF3440	200,100,73	#c86449
DUF3443	150,67,44	#96432c
DUF3444	146,97,83	#926153
DUF3445	180,76,193	#b44cc1
DUF3446	163,83,60	#a3533c
DUF3447	135,69,111	#87456f
DUF3449	127,61,211	#7f3dd3
DUF3450	145,65,43	#91412b
DUF3452	126,33,50	#7e2132
DUF3453	73,223,145	#49df91
DUF3454	222,84,142	#de548e
DUF3455	149,91,76	#955b4c
DUF3456	214,130,107	#d6826b
DUF3458	79,41,117	#4f2975
DUF3458_C	90,151,61	#5a973d
DUF3459	55,147,193	#3793c1
DUF346	202,104,136	#ca6888
DUF3460	205,128,107	#cd806b
DUF3461	200,97,68	#c86144
DUF3463	164,81,59	#a4513b
DUF3464	147,95,81	#935f51
DUF3465	174,98,196	#ae62c4
DUF3466	138,72,93	#8a485d
DUF3467	158,76,54	#9e4c36
DUF347	138,84,70	#8a5446
DUF3470	210,105,76	#d2694c
DUF3471	156,93,76	#9c5d4c
DUF3472	168,217,92	#a8d95c
DUF3473	152,100,85	#986455
DUF3474	203,135,116	#cb8774
DUF3475	159,105,90	#9f695a
DUF3477	201,120,76	#c9784c
DUF3479	153,98,83	#996253
DUF348	123,55,155	#7b379b
DUF3480	141,98,225	#8d62e1
DUF3481	141,90,76	#8d5a4c
DUF3482	173,26,91	#ad1a5b
DUF3483	144,95,81	#905f51
DUF3484	196,64,101	#c44065
DUF3485	226,135,110	#e2876e
DUF3486	178,97,223	#b261df
DUF3487	216,135,113	#d88771
DUF3488	71,204,114	#47cc72
DUF3489	203,209,109	#cbd16d
DUF349	204,91,60	#cc5b3c
DUF3490	142,68,48	#8e4430
DUF3491	149,92,77	#955c4d
DUF3492	77,35,116	#4d2374
DUF3493	208,102,72	#d06648
DUF3494	190,50,129	#be3281
DUF3496	143,70,50	#8f4632
DUF3498	89,210,185	#59d2b9
DUF3499	146,96,82	#926052
DUF34_NIF3	224,105,71	#e06947
DUF350	153,93,76	#995d4c
DUF3500	211,134,113	#d38671
DUF3501	134,96,172	#8660ac
DUF3502	217,142,121	#d98e79
DUF3504	163,23,99	#a31763
DUF3506	144,76,207	#904ccf
DUF3507	150,55,214	#9637d6
DUF3509	199,98,69	#c76245
DUF3510	179,85,88	#b35558
DUF3511	203,125,104	#cb7d68
DUF3512	222,111,80	#de6f50
DUF3514	206,103,75	#ce674b
DUF3515	222,132,107	#de846b
DUF3516	166,83,60	#a6533c
DUF3517	200,90,59	#c85a3b
DUF3519	135,43,93	#872b5d
DUF3520	136,181,88	#88b558
DUF3522	95,154,46	#5f9a2e
DUF3523	65,182,89	#41b659
DUF3524	71,194,217	#47c2d9
DUF3525	211,134,113	#d38671
DUF3526	157,100,84	#9d6454
DUF3527	129,50,78	#81324e
DUF3528	160,102,86	#a06656
DUF3530	91,158,140	#5b9e8c
DUF3531	147,67,44	#93432c
DUF3533	158,77,55	#9e4d37
DUF3535	217,139,118	#d98b76
DUF3536	219,100,67	#db6443
DUF3537	204,93,63	#cc5d3f
DUF3539	89,197,167	#59c5a7
DUF354	82,45,117	#522d75
DUF3540	165,85,63	#a5553f
DUF3541	195,196,86	#c3c456
DUF3543	215,90,119	#d75a77
DUF3544	149,77,57	#954d39
DUF3545	140,87,72	#8c5748
DUF3546	171,204,90	#abcc5a
DUF3549	151,96,80	#976050
DUF3551	220,113,83	#dc7153
DUF3552	211,54,107	#d3366b
DUF3553	81,168,81	#51a851
DUF3556	217,99,67	#d96343
DUF3557	139,86,71	#8b5647
DUF3558	220,108,77	#dc6c4d
DUF356	211,125,102	#d37d66
DUF3560	148,89,72	#945948
DUF3561	155,95,79	#9b5f4f
DUF3562	200,93,63	#c85d3f
DUF3563	142,73,54	#8e4936
DUF3564	221,108,76	#dd6c4c
DUF3565	205,93,63	#cd5d3f
DUF3566	217,131,108	#d9836c
DUF3567	226,110,78	#e26e4e
DUF3568	136,86,72	#885648
DUF357	138,68,48	#8a4430
DUF3570	33,110,134	#216e86
DUF3572	137,92,79	#895c4f
DUF3573	32,96,116	#206074
DUF3574	166,106,90	#a66a5a
DUF3575	84,154,176	#549ab0
DUF3576	205,93,62	#cd5d3e
DUF3577	139,64,43	#8b402b
DUF3578	85,189,218	#55bdda
DUF3579	196,90,60	#c45a3c
DUF3580	149,68,186	#9544ba
DUF3581	201,123,102	#c97b66
DUF3583	92,205,147	#5ccd93
DUF3584	71,131,147	#478393
DUF3585	95,197,223	#5fc5df
DUF3586	136,87,73	#885749
DUF3587	147,72,51	#934833
DUF3589	121,227,108	#79e36c
DUF359	225,102,68	#e16644
DUF3591	138,135,56	#8a8738
DUF3592	136,83,68	#885344
DUF3593	157,94,77	#9d5e4d
DUF3597	201,125,104	#c97d68
DUF3598	98,135,207	#6287cf
DUF3598_N	122,80,133	#7a5085
DUF3599	89,177,142	#59b18e
DUF35_N	174,157,93	#ae9d5d
DUF3600	208,130,109	#d0826d
DUF3601	118,243,118	#76f376
DUF3602	137,67,47	#89432f
DUF3603	153,71,48	#994730
DUF3604	231,167,92	#e7a75c
DUF3605	201,93,64	#c95d40
DUF3606	208,137,118	#d08976
DUF3611	137,69,50	#894532
DUF3612	218,145,125	#da917d
DUF3613	206,131,110	#ce836e
DUF3614	138,71,53	#8a4735
DUF3615	223,100,66	#df6442
DUF3616	224,87,132	#e05784
DUF3617	164,75,50	#a44b32
DUF3618	137,68,49	#894431
DUF3619	219,137,115	#db8973
DUF362	89,181,138	#59b58a
DUF3621	103,206,92	#67ce5c
DUF3622	155,96,80	#9b6050
DUF3623	187,66,227	#bb42e3
DUF3624	224,112,81	#e07051
DUF3626	148,98,84	#946254
DUF3627	156,72,49	#9c4831
DUF3629	146,88,72	#925848
DUF3630	107,174,183	#6baeb7
DUF3631	150,94,79	#965e4f
DUF3632	199,129,109	#c7816d
DUF3634	147,94,79	#935e4f
DUF3636	65,181,100	#41b564
DUF3637	207,135,115	#cf8773
DUF3638	208,107,79	#d06b4f
DUF364	129,61,74	#813d4a
DUF3640	151,90,73	#975a49
DUF3641	138,66,47	#8a422f
DUF3642	199,127,219	#c77fdb
DUF3644	131,57,80	#833950
DUF3645	137,90,76	#895a4c
DUF3646	148,97,83	#946153
DUF3648	225,135,110	#e1876e
DUF3649	207,99,70	#cf6346
DUF365	129,112,77	#81704d
DUF3652	117,55,205	#7537cd
DUF3653	142,95,81	#8e5f51
DUF3654	200,129,110	#c8816e
DUF3655	66,205,105	#42cd69
DUF3656	139,71,52	#8b4734
DUF3657	206,93,62	#ce5d3e
DUF3658	217,103,72	#d96748
DUF3659	172,104,128	#ac6880
DUF366	223,232,101	#dfe865
DUF3660	146,88,72	#925848
DUF3662	124,198,90	#7cc65a
DUF3663	155,69,45	#9b452d
DUF3664	145,89,73	#915949
DUF3665	226,224,69	#e2e045
DUF3666	142,93,79	#8e5d4f
DUF3667	157,97,81	#9d6151
DUF3668	143,91,77	#8f5b4d
DUF3669	213,102,72	#d56648
DUF3670	161,98,80	#a16250
DUF3671	154,100,85	#9a6455
DUF3672	93,65,120	#5d4178
DUF3673	152,69,47	#98452f
DUF3674	224,106,74	#e06a4a
DUF3675	208,102,73	#d06649
DUF3676	161,104,89	#a16859
DUF3677	78,212,120	#4ed478
DUF3678	153,91,74	#995b4a
DUF3679	215,98,66	#d76242
DUF368	196,150,55	#c49637
DUF3681	197,128,109	#c5806d
DUF3682	140,90,76	#8c5a4c
DUF3683	149,94,78	#955e4e
DUF3684	217,130,106	#d9826a
DUF3685	217,105,75	#d9694b
DUF3686	139,93,80	#8b5d50
DUF3687	58,64,182	#3a40b6
DUF3688	149,89,72	#955948
DUF3689	207,132,111	#cf846f
DUF3692	70,212,146	#46d492
DUF3693	163,81,58	#a3513a
DUF3694	219,133,109	#db856d
DUF3695	217,135,112	#d98770
DUF3696	212,103,72	#d46748
DUF3697	181,146,62	#b5923e
DUF3698	198,89,59	#c6593b
DUF3699	97,203,138	#61cb8a
DUF370	132,86,218	#8456da
DUF3700	93,149,231	#5d95e7
DUF3701	150,64,208	#9640d0
DUF3703	152,74,52	#984a34
DUF3704	161,82,61	#a1523d
DUF3707	202,103,76	#ca674c
DUF3708	223,110,79	#df6e4f
DUF3709	147,71,50	#934732
DUF371	132,36,166	#8424a6
DUF3710	146,94,79	#925e4f
DUF3712	115,63,166	#733fa6
DUF3713	155,74,52	#9b4a34
DUF3715	206,122,99	#ce7a63
DUF3716	140,68,49	#8c4431
DUF3717	153,99,84	#996354
DUF3718	204,134,115	#cc8673
DUF3719	146,90,74	#925a4a
DUF3720	166,76,51	#a64c33
DUF3721	219,103,71	#db6747
DUF3723	142,72,53	#8e4835
DUF3724	164,107,92	#a46b5c
DUF3725	210,132,111	#d2846f
DUF3726	209,95,63	#d15f3f
DUF3727	209,99,68	#d16344
DUF3729	154,70,47	#9a462f
DUF373	223,110,79	#df6e4f
DUF3730	108,158,84	#6c9e54
DUF3731	197,100,74	#c5644a
DUF3732	141,85,70	#8d5546
DUF3734	144,65,43	#90412b
DUF3736	199,130,112	#c78270
DUF3737	48,65,171	#3041ab
DUF3738	151,68,45	#97442d
DUF3739	150,92,76	#965c4c
DUF374	96,64,173	#6040ad
DUF3740	150,67,45	#96432d
DUF3741	141,71,52	#8d4734
DUF3742	223,116,86	#df7456
DUF3744	143,88,73	#8f5849
DUF3746	201,92,87	#c95c57
DUF3747	144,92,78	#905c4e
DUF3748	137,47,76	#892f4c
DUF3750	199,91,62	#c75b3e
DUF3751	84,194,125	#54c27d
DUF3752	210,126,103	#d27e67
DUF3754	207,95,63	#cf5f3f
DUF3755	140,85,70	#8c5546
DUF3756	154,99,83	#9a6353
DUF3757	163,75,51	#a34b33
DUF3759	136,86,72	#885648
DUF3760	158,74,51	#9e4a33
DUF3761	143,89,75	#8f594b
DUF3762	222,135,111	#de876f
DUF3763	75,184,135	#4bb887
DUF3764	218,111,81	#da6f51
DUF3767	57,85,206	#3955ce
DUF3768	204,97,67	#cc6143
DUF3769	23,92,113	#175c71
DUF3770	121,183,85	#79b755
DUF3772	202,127,106	#ca7f6a
DUF3774	157,73,50	#9d4932
DUF3775	161,95,77	#a15f4d
DUF3776	70,221,209	#46ddd1
DUF3778	197,101,74	#c5654a
DUF378	225,145,123	#e1917b
DUF3780	164,82,109	#a4526d
DUF3781	222,143,121	#de8f79
DUF3782	161,73,48	#a14930
DUF3783	199,99,71	#c76347
DUF3784	57,145,33	#399121
DUF3785	143,93,80	#8f5d50
DUF3786	151,71,49	#974731
DUF3787	217,102,71	#d96647
DUF3788	223,109,78	#df6d4e
DUF3789	139,85,70	#8b5546
DUF3791	144,92,78	#905c4e
DUF3792	159,77,55	#9f4d37
DUF3793	205,125,103	#cd7d67
DUF3794	98,186,79	#62ba4f
DUF3795	155,74,52	#9b4a34
DUF3796	164,106,90	#a46a5a
DUF3797	116,98,29	#74621d
DUF3798	224,90,158	#e05a9e
DUF3799	57,154,58	#399a3a
DUF3800	143,72,53	#8f4835
DUF3801	223,116,86	#df7456
DUF3802	142,74,55	#8e4a37
DUF3804	94,190,186	#5ebeba
DUF3805	121,35,82	#792352
DUF3806	201,105,78	#c9694e
DUF3807	137,62,41	#893e29
DUF3808	188,68,62	#bc443e
DUF3809	36,122,122	#247a7a
DUF3810	78,131,125	#4e837d
DUF3811	139,90,77	#8b5a4d
DUF3813	140,62,41	#8c3e29
DUF3817	145,65,43	#91412b
DUF3818	146,93,78	#925d4e
DUF3819	210,103,73	#d26749
DUF382	150,90,73	#965a49
DUF3821	219,98,65	#db6241
DUF3822	158,98,81	#9e6251
DUF3823	161,105,207	#a169cf
DUF3823_C	130,96,164	#8260a4
DUF3824	164,85,63	#a4553f
DUF3825	154,79,58	#9a4f3a
DUF3826	183,86,153	#b75699
DUF3827	203,92,150	#cb5c96
DUF3828	60,181,175	#3cb5af
DUF3829	225,140,117	#e18c75
DUF3829_2nd	201,93,63	#c95d3f
DUF383	205,93,62	#cd5d3e
DUF3830	130,128,70	#828046
DUF3833	178,111,196	#b26fc4
DUF3834	99,171,86	#63ab56
DUF3835	139,83,68	#8b5344
DUF3836	157,96,79	#9d604f
DUF3837	206,100,70	#ce6446
DUF3839	163,103,86	#a36756
DUF384	153,71,48	#994730
DUF3841	216,112,84	#d87054
DUF3842	226,117,87	#e27557
DUF3843	153,98,83	#996253
DUF3844	221,99,65	#dd6341
DUF3845	176,109,83	#b06d53
DUF3846	158,74,50	#9e4a32
DUF3847	154,69,46	#9a452e
DUF3848	144,91,76	#905b4c
DUF3849	204,101,72	#cc6548
DUF3850	173,151,103	#ad9767
DUF3851	209,136,116	#d18874
DUF3852	151,191,74	#97bf4a
DUF3853	159,164,80	#9fa450
DUF3854	86,76,170	#564caa
DUF3855	226,101,67	#e26543
DUF3856	154,214,125	#9ad67d
DUF3857	70,101,146	#466592
DUF3858	164,108,93	#a46c5d
DUF3859	81,44,117	#512c75
DUF386	76,93,127	#4c5d7f
DUF3860	196,202,111	#c4ca6f
DUF3860-like	136,141,68	#888d44
DUF3861	141,64,43	#8d402b
DUF3862	60,174,75	#3cae4b
DUF3863	176,145,95	#b0915f
DUF3864	161,99,114	#a16372
DUF3865	75,164,159	#4ba49f
DUF3866	146,75,55	#924b37
DUF3867	213,130,107	#d5826b
DUF3868	141,67,46	#8d432e
DUF3869	120,83,151	#785397
DUF3870	218,139,117	#da8b75
DUF3871	164,98,80	#a46250
DUF3872	180,78,95	#b44e5f
DUF3873	145,88,72	#915848
DUF3874	136,81,66	#885142
DUF3875	197,94,65	#c55e41
DUF3876	166,109,93	#a66d5d
DUF3877	205,104,75	#cd684b
DUF3878	157,98,82	#9d6252
DUF3879	138,64,44	#8a402c
DUF3880	155,93,75	#9b5d4b
DUF3881	222,133,109	#de856d
DUF3882	43,147,86	#2b9356
DUF3883	86,209,57	#56d139
DUF3884	154,95,78	#9a5f4e
DUF3885	151,73,52	#974934
DUF3886	154,73,50	#9a4932
DUF3887	60,175,170	#3cafaa
DUF3888	222,132,107	#de846b
DUF3889	108,223,124	#6cdf7c
DUF389	151,76,55	#974c37
DUF3890	158,79,58	#9e4f3a
DUF3891	140,70,51	#8c4633
DUF3892	100,228,153	#64e499
DUF3894	140,66,46	#8c422e
DUF3895	190,196,100	#bec464
DUF3896	210,139,120	#d28b78
DUF3898	160,77,55	#a04d37
DUF3899	146,95,81	#925f51
DUF390	107,179,88	#6bb358
DUF3900	164,77,54	#a44d36
DUF3902	212,110,82	#d46e52
DUF3903	154,77,56	#9a4d38
DUF3905	204,127,106	#cc7f6a
DUF3906	166,76,51	#a64c33
DUF3907	157,81,61	#9d513d
DUF3908	141,145,73	#8d9149
DUF3909	203,133,114	#cb8572
DUF3910	151,70,48	#974630
DUF3911	148,89,73	#945949
DUF3912	158,80,58	#9e503a
DUF3913	222,105,72	#de6948
DUF3914	215,137,116	#d78974
DUF3915	214,96,63	#d6603f
DUF3916	145,86,70	#915646
DUF3917	154,100,86	#9a6456
DUF3918	148,77,57	#944d39
DUF3919	224,133,107	#e0856b
DUF3920	75,129,123	#4b817b
DUF3921	213,138,117	#d58a75
DUF3922	161,76,53	#a14c35
DUF3923	164,97,79	#a4614f
DUF3924	52,91,153	#345b99
DUF3925	205,130,109	#cd826d
DUF3926	142,90,75	#8e5a4b
DUF3927	204,125,103	#cc7d67
DUF3928	223,137,114	#df8972
DUF3929	218,137,114	#da8972
DUF393	151,216,64	#97d840
DUF3930	163,83,61	#a3533d
DUF3931	221,115,85	#dd7355
DUF3932	140,70,50	#8c4632
DUF3933	223,139,116	#df8b74
DUF3934	202,104,77	#ca684d
DUF3935	162,98,80	#a26250
DUF3937	159,95,77	#9f5f4d
DUF3938	145,90,75	#915a4b
DUF3939	212,127,104	#d47f68
DUF3941	113,90,186	#715aba
DUF3942	166,80,56	#a65038
DUF3943	216,107,76	#d86b4c
DUF3944	211,139,119	#d38b77
DUF3945	117,99,30	#75631e
DUF3947	196,122,102	#c47a66
DUF3948	202,124,103	#ca7c67
DUF3949	166,99,81	#a66351
DUF3950	84,114,161	#5472a1
DUF3951	220,146,126	#dc927e
DUF3952	222,139,116	#de8b74
DUF3953	154,92,74	#9a5c4a
DUF3954	139,65,44	#8b412c
DUF3955	202,94,64	#ca5e40
DUF3956	197,93,64	#c55d40
DUF3958	161,76,53	#a14c35
DUF3959	156,75,52	#9c4b34
DUF3960	153,74,52	#994a34
DUF3961	216,141,120	#d88d78
DUF3963	150,99,85	#966355
DUF3964	143,92,78	#8f5c4e
DUF3965	144,65,43	#90412b
DUF3966	220,112,82	#dc7052
DUF3967	198,93,64	#c65d40
DUF3969	218,108,77	#da6c4d
DUF397	197,93,64	#c55d40
DUF3970	144,94,81	#905e51
DUF3971	151,100,86	#976456
DUF3972	143,72,52	#8f4834
DUF3973	212,100,69	#d46445
DUF3974	215,111,83	#d76f53
DUF3975	223,110,79	#df6e4f
DUF3976	215,98,65	#d76241
DUF3977	163,75,51	#a34b33
DUF3978	208,133,112	#d08570
DUF3979	211,134,113	#d38671
DUF3980	161,78,55	#a14e37
DUF3981	155,74,52	#9b4a34
DUF3982	216,137,115	#d88973
DUF3983	163,105,88	#a36958
DUF3984	214,134,112	#d68670
DUF3985	206,98,69	#ce6245
DUF3986	160,101,85	#a06555
DUF3987	148,90,73	#945a49
DUF3989	168,46,183	#a82eb7
DUF3990	112,122,39	#707a27
DUF3991	198,96,68	#c66044
DUF3992	203,133,57	#cb8539
DUF3993	153,79,59	#994f3b
DUF3994	132,86,145	#845691
DUF3995	147,91,76	#935b4c
DUF3996	31,103,125	#1f677d
DUF3997	145,65,43	#91412b
DUF3999	220,135,112	#dc8770
DUF4003	153,76,55	#994c37
DUF4004	146,72,51	#924833
DUF4005	218,105,74	#da694a
DUF4006	144,85,69	#905545
DUF4007	204,93,63	#cc5d3f
DUF401	76,44,206	#4c2cce
DUF4010	139,91,78	#8b5b4e
DUF4011	210,134,112	#d28670
DUF4012	164,79,55	#a44f37
DUF4013	126,179,47	#7eb32f
DUF4014	197,119,98	#c57762
DUF4015	161,132,99	#a18463
DUF4017	149,96,82	#956052
DUF4018	158,98,81	#9e6251
DUF4019	114,198,194	#72c6c2
DUF402	224,113,82	#e07152
DUF4020	200,92,63	#c85c3f
DUF4021	75,58,130	#4b3a82
DUF4022	217,143,123	#d98f7b
DUF4023	135,118,189	#8776bd
DUF4024	164,109,94	#a46d5e
DUF4025	142,125,195	#8e7dc3
DUF4026	88,192,178	#58c0b2
DUF4026_C	51,228,121	#33e479
DUF4026_N	162,77,54	#a24d36
DUF4027	214,101,70	#d66546
DUF4028	213,141,121	#d58d79
DUF4029	209,133,112	#d18570
DUF4030	202,100,71	#ca6447
DUF4031	207,99,69	#cf6345
DUF4032	199,121,100	#c77964
DUF4033	170,200,96	#aac860
DUF4034	218,101,68	#da6544
DUF4035	61,185,88	#3db958
DUF4037	158,80,58	#9e503a
DUF4038	169,136,98	#a98862
DUF4040	148,46,180	#942eb4
DUF4041	151,76,56	#974c38
DUF4042	105,154,81	#699a51
DUF4043	215,131,108	#d7836c
DUF4044	219,139,116	#db8b74
DUF4045	209,126,103	#d17e67
DUF4046	201,93,63	#c95d3f
DUF4047	161,98,81	#a16251
DUF4048	159,75,52	#9f4b34
DUF4049	181,121,66	#b57942
DUF4050	188,74,116	#bc4a74
DUF4051	210,72,63	#d2483f
DUF4052	222,115,86	#de7356
DUF4054	201,126,105	#c97e69
DUF4055	142,72,52	#8e4834
DUF4056	212,106,77	#d46a4d
DUF4057	152,98,84	#986254
DUF4058	212,134,113	#d48671
DUF4059	163,105,89	#a36959
DUF406	139,62,41	#8b3e29
DUF4060	200,104,78	#c8684e
DUF4061	73,92,209	#495cd1
DUF4062	208,129,107	#d0816b
DUF4064	219,103,230	#db67e6
DUF4065	146,52,178	#9234b2
DUF4070	148,66,43	#94422b
DUF4071	182,66,127	#b6427f
DUF4072	215,141,121	#d78d79
DUF4073	146,71,50	#924732
DUF4074	205,137,118	#cd8976
DUF4075	221,142,121	#dd8e79
DUF4077	163,99,81	#a36351
DUF4078	139,63,42	#8b3f2a
DUF4079	215,128,104	#d78068
DUF4080	146,66,44	#92422c
DUF4081	213,132,109	#d5846d
DUF4082	209,134,114	#d18672
DUF4083	136,83,68	#885344
DUF4084	156,104,89	#9c6859
DUF4085	140,84,68	#8c5444
DUF4087	203,123,101	#cb7b65
DUF4088	149,77,57	#954d39
DUF4089	70,175,195	#46afc3
DUF4090	219,145,124	#db917c
DUF4091	226,96,205	#e260cd
DUF4092	150,97,82	#966152
DUF4093	213,96,63	#d5603f
DUF4094	207,132,111	#cf846f
DUF4096	165,79,55	#a54f37
DUF4097	66,74,121	#424a79
DUF4099	162,73,48	#a24930
DUF410	189,220,71	#bddc47
DUF4100	143,71,51	#8f4733
DUF4101	63,69,195	#3f45c3
DUF4105	209,96,65	#d16041
DUF4106	145,87,71	#915747
DUF4107	198,118,96	#c67660
DUF4108	149,89,73	#955949
DUF411	141,72,53	#8d4835
DUF4110	140,90,76	#8c5a4c
DUF4111	49,193,165	#31c1a5
DUF4112	144,69,49	#904531
DUF4113	142,87,72	#8e5748
DUF4114	164,104,87	#a46857
DUF4115	118,199,81	#76c751
DUF4116	209,100,69	#d16445
DUF4118	216,104,73	#d86849
DUF4119	213,140,119	#d58c77
DUF412	157,77,55	#9d4d37
DUF4120	226,139,115	#e28b73
DUF4121	216,111,81	#d86f51
DUF4122	202,98,69	#ca6245
DUF4123	140,86,71	#8c5647
DUF4124	156,100,84	#9c6454
DUF4125	145,68,47	#91442f
DUF4126	151,78,57	#974e39
DUF4127	208,127,105	#d07f69
DUF4128	154,59,210	#9a3bd2
DUF4129	151,100,86	#976456
DUF413	154,95,79	#9a5f4f
DUF4130	164,84,62	#a4543e
DUF4131	196,101,74	#c4654a
DUF4132	208,130,109	#d0826d
DUF4133	158,94,77	#9e5e4d
DUF4134	123,147,77	#7b934d
DUF4135	228,84,217	#e454d9
